 ;Area;Mean;StdDev;Min;Max;X;Y;XM;YM;Major;Minor;Angle;%Area;Type
307;1;877.000;0;877;877;388.500;407.500;388.500;407.500;1.128;1.128;0;100;A
308;154;777.331;77.987;608;981;303.786;415.338;303.794;415.334;18.463;10.620;171.775;100;A
309;6;830.833;73.920;726;932;324.833;409.167;324.832;409.157;3.489;2.190;135.000;100;A
310;1;866.000;0;866;866;343.500;408.500;343.500;408.500;1.128;1.128;0;100;A
311;4;777.750;45.375;717;822;435.250;409.500;435.252;409.534;2.734;1.863;90.000;100;A
312;18;724.889;53.261;624;802;54.944;411.389;54.938;411.367;5.945;3.855;27.024;100;A
313;136;788.221;82.259;620;1092;360.235;416.463;360.305;416.450;25.207;6.869;17.982;100;A
314;223;781.045;78.397;630;1020;338.061;427.648;338.083;427.622;24.320;11.675;91.528;100;A
315;160;765.056;88.049;586;1080;440.925;420.644;440.961;420.649;19.955;10.209;165.818;100;A
316;11;754.455;74.749;639;883;27.409;417.136;27.385;417.150;4.384;3.195;105.071;100;A
317;9;689.778;38.118;647;771;18.167;417.944;18.148;417.936;4.196;2.731;83.953;100;A
318;30;734.167;75.858;617;921;63.900;419.200;63.893;419.187;6.505;5.872;84.747;100;A
319;362;775.445;82.669;603;1090;388.326;426.464;388.254;426.503;30.107;15.309;162.888;100;A
320;323;776.728;96.355;576;1161;231.856;433.776;231.682;433.595;33.877;12.140;120.625;100;A
321;21;747.714;62.799;650;863;463.881;420.071;463.838;420.073;6.279;4.258;7.202;100;A
322;64;791.297;75.151;612;970;322.328;424.469;322.291;424.482;10.446;7.801;57.958;100;A
323;118;779.144;81.790;599;992;418.780;424.559;418.817;424.546;15.040;9.989;1.704;100;A
324;37;742.757;64.986;623;916;200.959;424.554;200.968;424.550;9.117;5.167;150.409;100;B
325;44;728.045;51.423;628;846;280.932;426.682;280.941;426.664;7.910;7.083;131.950;100;A
326;93;734.785;71.374;592;970;149.640;431.005;149.610;431.048;15.271;7.754;47.477;100;A
327;119;782.059;75.994;633;971;356.071;431.113;356.116;431.083;25.216;6.009;33.615;100;A
328;20;724.800;62.957;625;833;139.450;427.250;139.484;427.285;5.713;4.457;42.920;100;A
329;148;761.318;82.314;588;997;264.074;434.216;264.045;434.204;17.432;10.810;80.612;100;A
330;24;707.833;89.268;554;966;502.542;430.042;502.554;430.038;6.090;5.017;108.023;100;A
331;2;787.500;38.891;760;815;194.500;431.000;194.500;431.017;2.257;1.128;90.000;100;A
332;346;872.095;377.767;535;3113;203.052;440.694;202.083;441.016;32.651;13.492;19.634;100;A
333;11;772.727;52.273;694;891;433.955;431.864;433.955;431.884;3.994;3.507;18.435;100;A
334;17;724.765;72.641;581;885;17.265;434.794;17.248;434.772;4.964;4.360;132.882;100;A
335;65;782.246;87.165;604;1009;408.392;439.100;408.398;439.133;10.270;8.058;89.736;100;A
336;52;732.981;77.629;595;945;36.423;441.212;36.402;441.179;9.696;6.829;54.850;100;A
337;3;758.667;106.006;652;864;73.833;436.833;73.834;436.786;2.365;1.615;45.000;100;A
338;150;740.487;65.358;599;960;83.920;447.907;83.972;447.834;20.110;9.497;74.776;100;A
339;804;773.343;81.584;555;1096;320.157;454.174;320.251;454.188;50.389;20.316;166.671;100;A
340;52;758.596;83.759;619;1057;437.731;442.808;437.716;442.805;14.395;4.599;30.070;100;A
341;14;772.143;68.785;670;932;383.000;441.000;382.994;440.964;4.849;3.676;45.000;100;A
342;184;762.918;75.748;607;1005;447.696;449.832;447.734;449.813;28.065;8.348;34.797;100;A
343;228;747.825;71.199;587;959;163.044;452.285;163.009;452.283;29.912;9.705;166.896;100;A
344;127;726.197;69.504;598;951;63.492;451.563;63.534;451.605;17.026;9.497;131.517;100;A
345;140;767.571;79.209;586;1008;274.836;456.114;274.847;456.065;20.106;8.866;85.218;100;A
346;2;668.500;74.246;616;721;44.000;448.000;43.961;448.039;2.596;981;45.000;100;A
347;183;747.967;81.599;576;983;256.150;456.243;256.157;456.277;17.066;13.653;130.244;100;A
348;27;733.963;65.274;631;845;368.352;453.019;368.356;453.057;6.773;5.076;86.889;100;A
349;136;727.287;66.253;559;904;475.772;456.750;475.703;456.734;19.223;9.008;152.523;100;A
350;35;720.400;64.304;564;839;504.300;454.929;504.296;454.937;8.074;5.520;178.551;100;A
351;64;724.562;62.514;596;897;386.734;459.578;386.766;459.544;12.944;6.295;56.996;100;A
352;294;751.952;81.722;564;1061;92.415;471.272;92.411;471.200;25.743;14.541;91.970;100;A
353;190;747.111;75.196;594;928;219.447;462.737;219.387;462.706;27.735;8.722;169.270;100;A
354;26;738.731;65.662;597;871;457.538;458.846;457.523;458.837;6.150;5.383;8.644;100;A
355;1;781.000;0;781;781;422.500;457.500;422.500;457.500;1.128;1.128;0;100;A
356;86;703.384;87.755;557;1018;8.593;467.709;8.608;467.745;11.958;9.157;108.961;100;A
357;69;762.000;172.493;556;1441;125.210;466.572;125.249;466.588;10.148;8.657;153.322;100;A
358;25;725.880;74.920;615;913;487.980;469.780;487.949;469.729;8.610;3.697;116.490;100;A
359;205;700.898;78.908;544;1200;42.422;475.095;42.368;475.138;18.120;14.405;12.617;100;A
360;59;727.966;73.403;591;904;186.466;474.754;186.459;474.794;11.586;6.484;88.685;100;A
361;65;739.785;75.206;596;987;243.300;472.208;243.279;472.204;10.362;7.987;14.977;100;A
362;7;716.714;75.394;615;826;459.214;468.929;459.269;468.923;4.154;2.146;171.650;100;A
