 ;Area;Mean;StdDev;Min;Max;X;Y;XM;YM;Major;Minor;Angle;%Area;Type
134;7;758.714;68.638;666;852;413.786;144.500;413.791;144.525;3.086;2.888;90.000;100;A
135;218;737.326;69.344;590;950;181.610;156.431;181.648;156.396;21.241;13.068;163.942;100;A
136;12;728.333;77.677;610;874;491.333;150.500;491.325;150.450;4.992;3.061;160.195;100;A
137;40;744.800;78.093;599;912;138.325;156.775;138.326;156.787;9.092;5.601;168.638;100;A
138;9;782.333;92.878;631;;221.389;158.056;221.394;158.032;;2.511;116.565;100;A
139;15;810.067;119.078;658;1023;289.233;161.567;289.240;161.592;5.235;3.648;62.451;100;A
140;19;813.158;87.945;672;961;216.079;162.605;216.051;162.564;5.550;4.359;77.179;100;A
141;23;670.391;72.106;547;812;46.891;163.413;46.873;163.425;6.569;4.458;146.694;100;A
142;2;718.000;8.485;712;724;82.000;162.500;82.004;162.500;2.257;1.128;0;100;A
143;96;669.531;60.578;558;834;22.615;170.083;22.587;170.104;16.460;7.426;36.965;100;C
144;360;800.708;116.521;563;1351;188.783;181.894;188.837;181.903;32.594;14.063;25.671;100;A
145;143;772.007;79.176;633;1104;382.122;176.353;382.152;176.391;21.783;8.358;27.136;100;C
146;186;735.710;73.762;560;954;408.032;179.188;408.025;179.162;21.956;10.786;80.262;100;B
147;5;672.000;59.127;591;742;45.700;169.900;45.655;169.912;3.144;2.025;161.565;100;B
148;58;715.259;70.669;563;878;440.172;175.914;440.148;175.908;10.448;7.068;112.358;100;B
149;66;717.439;73.098;583;944;97.682;180.727;97.724;180.767;15.050;5.584;143.218;100;C
150;44;833.136;93.373;707;1041;213.023;178.250;212.991;178.366;9.265;6.047;77.460;100;C
151;15;721.600;55.036;628;825;471.167;178.767;471.151;178.782;4.759;4.014;5.884;100;C
152;53;662.434;48.090;554;797;41.198;184.972;41.191;184.992;11.950;5.647;53.447;100;A
153;10;677.800;70.682;594;779;67.300;180.500;67.279;180.467;3.966;3.210;0;100;A
154;81;667.802;55.405;529;820;21.463;191.537;21.499;191.484;16.695;6.178;77.069;100;A
155;1;744.000;0;744;744;7.500;187.500;7.500;187.500;1.128;1.128;0;100;A
156;103;727.282;64.234;557;870;448.675;195.354;448.664;195.291;15.797;8.302;83.475;100;A
157;251;788.904;96.584;599;1322;378.719;202.038;378.680;202.104;19.691;16.230;110.540;100;A
158;364;756.986;79.074;594;1046;418.027;209.393;417.884;209.501;32.683;14.180;52.965;100;A
159;56;770.786;77.284;622;997;395.589;197.375;395.587;197.365;13.330;5.349;146.023;100;A
160;31;697.871;55.109;569;805;494.661;195.984;494.654;195.967;6.733;5.862;155.050;100;A
161;38;706.605;63.546;561;838;85.447;196.737;85.442;196.734;9.383;5.156;2.846;100;A
162;209;;65.902;543;921;472.620;;472.679;204.020;18.607;14.302;145.312;100;A
163;27;660.704;54.161;569;750;43.759;197.722;43.767;197.730;9.639;3.566;175.243;100;A
164;90;691.967;58.625;545;845;99.789;201.367;99.810;201.398;11.793;9.717;31.284;100;A
165;97;763.753;69.059;620;955;351.284;201.479;351.288;201.433;13.654;9.045;59.138;100;B
166;281;759.431;93.808;549;1182;294.731;214.091;294.678;214.121;25.542;14.008;16.511;100;A
167;16;779.375;60.684;685;901;138.750;205.875;138.726;205.885;4.841;4.208;14.872;100;A
168;19;754.421;71.362;670;947;406.079;206.658;406.063;206.663;6.844;3.534;17.602;100;A
169;64;753.344;89.079;594;993;128.969;212.312;128.952;212.299;9.377;8.690;30.804;100;A
170;41;772.195;89.512;627;938;270.720;212.744;270.718;212.761;9.045;5.771;88.577;100;A
171;48;912.938;183.174;699;1523;241.542;212.542;241.297;212.578;10.472;5.836;29.953;100;A
172;77;726.442;71.930;588;978;94.461;215.890;94.462;215.837;12.405;7.903;92.498;100;A
173;129;776.899;84.406;611;1092;387.500;219.322;387.450;219.314;20.925;7.849;19.342;100;A
174;12;740.417;48.182;656;801;79.583;219.333;79.594;219.286;4.911;3.111;80.583;100;A
175;1;807.000;0;807;807;50.500;220.500;50.500;220.500;1.128;1.128;0;100;A
176;303;776.924;90.981;591;1114;353.411;233.249;353.365;233.349;27.952;13.802;46.796;100;A
177;53;751.547;68.734;610;895;127.142;227.519;127.167;227.519;13.014;5.185;107.236;100;A
178;3;796.667;107.482;677;885;400.167;224.167;400.217;224.130;2.365;1.615;45.000;100;A
179;143;775.140;83.926;600;1016;400.843;232.990;400.803;232.997;21.916;8.308;151.407;100;A
180;3;729.667;20.404;712;752;484.167;227.833;484.156;227.831;2.365;1.615;135.000;100;A
181;64;757.391;64.998;608;917;319.484;232.812;319.468;232.734;11.333;7.190;131.715;100;A
182;6;768.500;104.745;672;946;389.000;229.500;388.953;229.530;3.385;2.257;90.000;100;A
183;437;747.055;116.428;563;1441;469.477;249.138;469.318;249.123;29.758;18.698;106.863;100;A
184;159;;;;;;;;;;;37.005;100;C
185;20;695.300;80.833;571;878;9.050;239.200;9.097;239.217;7.034;3.620;16.958;100;C
186;2;805.000;149.907;;911;493.500;239.000;493.500;239.066;2.257;1.128;90.000;100;C
187;106;722.245;62.330;592;947;443.604;245.547;443.607;245.545;22.578;5.978;18.338;100;C
188;116;725.440;74.708;564;976;42.612;249.802;42.648;249.816;15.254;9.683;157.733;100;C
189;5;845.800;61.487;744;909;335.900;244.700;335.918;244.708;3.144;2.025;108.435;100;C
190;2755;859.928;235.458;539;3880;108.710;302.158;110.999;300.247;144.475;24.280;39.318;100;C
191;263;801.300;153.857;577;1501;379.097;260.063;379.398;260.025;25.274;13.249;1.952;100;C
192;187;700.631;71.394;544;989;11.719;270.115;11.687;270.272;27.752;8.579;85.297;100;C
193;11;713.364;54.691;635;812;498.864;255.045;498.879;255.062;5.091;2.751;138.797;100;C
194;522;779.778;114.888;556;1402;416.690;271.418;416.570;271.320;32.561;20.412;123.786;100;C
195;53;811.000;101.508;640;1091;118.462;262.991;118.448;262.952;8.445;7.991;73.319;100;C
196;234;839.679;189.218;562;1844;179.265;270.936;179.268;270.466;25.860;11.521;99.753;100;C
197;27;724.704;67.704;614;884;458.204;266.278;458.206;266.286;9.039;3.803;66.821;100;C
198;64;840.891;89.202;652;1089;130.406;271.562;130.424;271.590;11.557;7.051;96.138;100;C
199;12;812.833;112.411;683;1034;196.167;271.250;196.195;271.224;4.164;3.669;160.195;100;C
200;74;753.446;75.470;588;956;357.257;273.959;357.223;273.942;16.174;5.825;8.944;100;C
201;15;712.867;76.545;594;873;29.300;272.433;29.249;272.476;5.402;3.536;171.112;100;C
202;311;769.598;84.478;564;1069;377.506;281.220;377.394;281.261;27.395;14.454;18.290;100;A
203;73;830.137;130.285;637;1226;208.185;278.048;208.214;278.010;11.244;8.266;12.420;100;A
204;9;731.000;56.456;641;803;78.722;278.611;78.711;278.648;4.200;2.729;119.518;100;A
205;21;730.143;75.153;599;896;470.833;279.357;470.844;279.334;5.538;4.828;129.608;100;A
206;4;758.000;60.238;694;833;285.000;279.000;284.969;278.985;2.257;2.257;0;100;A
207;164;764.171;100.685;601;1147;463.433;289.951;463.342;290.030;15.173;13.762;4.261;100;A
208;118;767.441;86.676;609;1078;199.898;291.136;199.912;291.163;16.146;9.305;115.823;100;A
209;1821;847.761;122.074;600;1510;287.795;321.115;288.074;321.824;55.879;41.492;112.124;100;A
210;2;771.000;29.698;750;792;394.000;286.500;394.014;286.500;2.257;1.128;0;100;A
211;15;707.400;86.798;583;881;66.967;290.633;66.990;290.643;5.350;3.570;3.327;100;C
212;22;748.500;82.419;620;890;151.727;290.909;151.761;290.906;6.735;4.159;172.791;100;A
213;7;774.143;36.672;723;814;377.500;290.214;377.490;290.193;3.086;2.888;0;100;A
214;4;751.250;63.248;660;801;169.500;293.000;169.453;293.028;3.216;1.583;31.717;100;A
215;30;764.000;71.772;613;873;395.600;295.467;395.604;295.477;7.761;4.922;159.117;100;A
216;59;757.949;81.123;609;1044;448.771;298.975;448.749;299.015;9.480;7.924;56.153;100;A
217;109;862.982;265.987;591;1846;142.353;301.940;142.284;301.974;12.483;11.118;95.435;100;A
218;45;734.556;64.030;623;871;192.189;299.744;192.178;299.745;11.050;5.185;131.624;100;A
219;1;763.000;0;763;763;411.500;296.500;411.500;296.500;1.128;1.128;0;100;A
220;26;730.269;63.761;593;904;484.231;299.846;484.247;299.867;6.659;4.972;57.682;100;A
221;40;723.400;74.109;621;935;51.925;302.175;51.883;302.184;8.608;5.916;13.144;100;A
222;131;782.679;108.250;605;1173;208.752;305.363;208.969;305.425;20.862;7.995;168.963;100;A
223;193;758.668;84.161;587;1045;407.355;307.402;407.440;307.378;24.876;9.878;26.849;100;A
224;1;797.000;0;797;797;428.500;299.500;428.500;299.500;1.128;1.128;0;100;A
225;415;762.839;95.700;567;1087;169.796;319.271;169.838;319.290;39.417;13.405;119.957;100;A
226;107;750.486;110.583;548;1108;40.388;308.893;40.384;308.872;13.768;9.895;71.585;100;A
227;35;764.429;69.358;641;936;80.386;308.986;80.441;308.995;7.712;5.778;157.124;100;A
228;41;729.854;86.433;621;1012;69.988;310.720;70.019;310.758;8.045;6.489;178.444;100;A
229;46;808.848;76.042;671;956;294.152;311.283;294.216;311.258;8.963;6.535;42.782;100;A
230;423;752.440;90.047;568;1167;468.349;316.072;468.036;316.029;49.232;10.940;171.646;100;A
231;18;828.111;88.631;677;1029;317.778;311.389;317.773;311.341;5.088;4.504;115.406;100;B
232;2;776.500;112.430;697;856;495.500;311.000;495.500;310.949;2.257;1.128;90.000;100;A
233;27;738.407;71.667;612;905;196.352;313.352;196.340;313.344;6.983;4.923;148.053;100;A
234;25;736.280;68.838;617;917;128.380;317.860;128.385;317.862;7.775;4.094;152.740;100;A
235;7;698.429;57.055;613;778;57.786;317.500;57.774;317.487;3.086;2.888;90.000;100;A
236;58;742.276;73.150;595;953;203.500;323.017;203.515;323.010;12.397;5.957;151.129;100;A
237;193;756.244;87.146;592;1038;434.111;327.837;434.104;327.884;20.013;12.279;42.496;100;A
238;5;723.200;40.027;681;781;149.900;321.300;149.894;321.288;3.144;2.025;71.565;100;A
239;10;759.000;88.379;588;889;217.900;324.000;217.875;324.057;5.848;2.177;90.000;100;A
240;8;662.500;58.111;593;748;36.500;324.000;36.511;324.000;3.489;2.919;90.000;100;A
241;11;736.455;102.074;628;976;130.227;325.136;130.180;325.178;6.487;2.159;78.379;100;B
